microorganism,compound,N_samples,n_resistant,percent_resistant,lower_ci,upper_ci,date_imported
"achromobacter sp.","amoxicillin/clavulanate",9,1,11,0,46,"24 Sep 2018"
"achromobacter sp.","azithromycin",5,5,100,51,100,"24 Sep 2018"
"achromobacter sp.","aztreonam",2,2,100,29,100,"24 Sep 2018"
"achromobacter sp.","cefepime",28,25,89,72,97,"24 Sep 2018"
"achromobacter sp.","ceftazidime",28,17,61,42,76,"24 Sep 2018"
"achromobacter sp.","ceftriaxone",9,9,100,65,100,"24 Sep 2018"
"achromobacter sp.","cefuroxime",9,9,100,65,100,"24 Sep 2018"
"achromobacter sp.","ciprofloxacin",28,25,89,72,97,"24 Sep 2018"
"achromobacter sp.","colistin",5,0,0,0,49,"24 Sep 2018"
"achromobacter sp.","cotrimoxazole",14,1,7,0,34,"24 Sep 2018"
"achromobacter sp.","fosfomycin",1,1,100,17,100,"24 Sep 2018"
"achromobacter sp.","gentamicin",28,26,93,76,99,"24 Sep 2018"
"achromobacter sp.","imipenem",28,3,11,3,28,"24 Sep 2018"
"achromobacter sp.","levofloxacin",18,11,61,39,80,"24 Sep 2018"
"achromobacter sp.","meropenem",18,2,11,2,34,"24 Sep 2018"
"achromobacter sp.","nitrofurantoin",1,1,100,17,100,"24 Sep 2018"
"achromobacter sp.","norfloxacin",3,3,100,38,100,"24 Sep 2018"
"achromobacter sp.","piperacillin/tazobactam",29,2,7,1,23,"24 Sep 2018"
"achromobacter sp.","tobramycin",27,24,89,71,97,"24 Sep 2018"
"acinetobacter sp.","amoxicillin",21,21,100,81,100,"24 Sep 2018"
"acinetobacter sp.","amoxicillin/clavulanate",54,54,100,92,100,"24 Sep 2018"
"acinetobacter sp.","azithromycin",26,21,81,62,92,"24 Sep 2018"
"acinetobacter sp.","aztreonam",2,2,100,29,100,"24 Sep 2018"
"acinetobacter sp.","cefazolin",1,1,100,17,100,"24 Sep 2018"
"acinetobacter sp.","cefepime",140,15,11,7,17,"24 Sep 2018"
"acinetobacter sp.","ceftazidime",139,46,33,26,41,"24 Sep 2018"
"acinetobacter sp.","ceftriaxone",10,10,100,67,100,"24 Sep 2018"
"acinetobacter sp.","cefuroxime",52,52,100,92,100,"24 Sep 2018"
"acinetobacter sp.","ciprofloxacin",186,11,6,3,10,"24 Sep 2018"
"acinetobacter sp.","colistin",65,0,0,0,7,"24 Sep 2018"
"acinetobacter sp.","cotrimoxazole",128,4,3,1,8,"24 Sep 2018"
"acinetobacter sp.","ertapenem",7,7,100,59,100,"24 Sep 2018"
"acinetobacter sp.","fosfomycin",10,10,100,67,100,"24 Sep 2018"
"acinetobacter sp.","gentamicin",181,6,3,1,7,"24 Sep 2018"
"acinetobacter sp.","imipenem",181,3,2,0,5,"24 Sep 2018"
"acinetobacter sp.","levofloxacin",163,8,5,2,10,"24 Sep 2018"
"acinetobacter sp.","meropenem",120,4,3,1,9,"24 Sep 2018"
"acinetobacter sp.","nitrofurantoin",9,9,100,65,100,"24 Sep 2018"
"acinetobacter sp.","norfloxacin",1,0,0,0,83,"24 Sep 2018"
"acinetobacter sp.","piperacillin/tazobactam",130,35,27,20,35,"24 Sep 2018"
"acinetobacter sp.","rifampicin",25,3,12,3,31,"24 Sep 2018"
"acinetobacter sp.","tobramycin",168,8,5,2,9,"24 Sep 2018"
